2025-06-04 21:25:36,273 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,274 | test.test_storage    | DEBUG    | {'user_id': 1, 'user_name': 'new_user', 'nick_name': '', 'password': 'hashed_password_123', 'avatar_src': 'https://example.com/avatar.jpg', 'create_time': datetime.datetime(2025, 5, 31, 13, 24, 3)}
2025-06-04 21:25:36,277 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,300 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,304 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,308 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,312 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,316 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,320 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,325 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,330 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,334 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,338 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,343 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,348 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,352 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,357 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:25:36,361 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,145 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,149 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,153 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,158 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,162 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,167 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,168 | test.test_storage    | DEBUG    | {'user_id': 1, 'user_name': 'new_user', 'nick_name': '', 'password': 'hashed_password_123', 'avatar_src': 'https://example.com/avatar.jpg', 'create_time': datetime.datetime(2025, 5, 31, 13, 24, 3)}
2025-06-04 21:27:50,171 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,175 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,179 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,183 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,188 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,192 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,197 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,201 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,205 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,209 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,213 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,217 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,221 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,225 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,229 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
2025-06-04 21:27:50,233 | src.utils.storage    | DEBUG    | MySQL数据库连接成功
